Body Frame,Type of Hair,Color of Hair,Skin,Complexion,Body Weight,Nails,Size and Color of the Teeth,Pace of Performing Work,Mental Activity,Memory,Sleep Pattern,Weather Conditions,Reaction under Adverse Situations,Mood,Eating Habit,Hunger,Body Temperature,Joints,Nature,Body Energy,Quality of Voice,Body Odor,Dosha
Medium,Normal,Brown,"Dry,Rough",Pinkish,Overweight,Redish,"Medium,Yellowish",Medium,Restless,Long Term,Moderate,Dislike Cold,Calm,Constant,Improper Chewing,Skips Meal,Normal,Healthy,"Egoistic,Fearless",High,Rough,Negligible,Pitta
Well Built,Dry,Brown,"Dry,Rough",Glowing,Normal,Redish,"Large,White",Fast,Aggressive,Good Memory,Moderate,Dislike Heat,Anger,Constant,Proper Chewing,Irregular,Normal,Weak,"Jealous,Fearful",High,Deep,Negligible,Vata
Medium,Normal,Brown,"Moist,Greasy",Dark,Underweight,Blackish,"Irregular,Blackish",Slow,Stable,Short term,Less,Dislike Moist,Anxiety,Changes Slowly,Improper Chewing,Sudden and Sharp,Less than Normal,Weak,"Jealous,Fearful",Low,Deep,Strong,Kapha
Thin and Lean,Greasy,Brown,"Dry,Rough",Glowing,Overweight,Blackish,"Irregular,Blackish",Fast,Stable,Short term,Sleepy,Dislike Cold,Anxiety,Changes Quickly,Improper Chewing,Skips Meal,Less than Normal,Heavy,"Jealous,Fearful",Medium,Rough,Mild,Kapha
Medium,Dry,Grey,"Moist,Greasy",Dark,Normal,Redish,"Medium,Yellowish",Fast,Restless,Short term,Less,Dislike Cold,Calm,Changes Slowly,Irregular Chewing,Skips Meal,Less than Normal,Heavy,"Jealous,Fearful",High,Fast,Strong,Pitta
Medium,Normal,Grey,"Dry,Rough",Pinkish,Normal,Pinkish,"Large,White",Slow,Aggressive,Short term,Sleepy,Dislike Moist,Anxiety,Constant,Proper Chewing,Irregular,More than Normal,Heavy,"Forgiving,Grateful",Medium,Rough,Mild,Kapha
Well Built,Greasy,Grey,"Moist,Greasy",Glowing,Normal,Pinkish,"Large,White",Fast,Restless,Long Term,Less,Dislike Heat,Anxiety,Changes Slowly,Improper Chewing,Irregular,More than Normal,Weak,"Forgiving,Grateful",High,Fast,Mild,Pitta
Well Built,Greasy,Black,"Moist,Greasy",Dark,Underweight,Redish,"Large,White",Slow,Restless,Short term,Less,Dislike Cold,Calm,Constant,Proper Chewing,Irregular,Normal,Weak,"Forgiving,Grateful",Medium,Rough,Mild,Vata
Thin and Lean,Normal,Brown,"Moist,Greasy",Pinkish,Overweight,Blackish,"Medium,Yellowish",Medium,Aggressive,Good Memory,Sleepy,Dislike Moist,Calm,Changes Slowly,Improper Chewing,Irregular,Less than Normal,Heavy,"Forgiving,Grateful",High,Deep,Negligible,Kapha
Thin and Lean,Normal,Black,"Moist,Greasy",Dark,Underweight,Blackish,"Irregular,Blackish",Medium,Restless,Short term,Less,Dislike Heat,Calm,Constant,Improper Chewing,Skips Meal,More than Normal,Weak,"Forgiving,Grateful",Low,Fast,Mild,Pitta
Well Built,Normal,Grey,"Soft,Sweating",Pinkish,Normal,Pinkish,"Irregular,Blackish",Medium,Aggressive,Long Term,Moderate,Dislike Heat,Anger,Constant,Proper Chewing,Irregular,More than Normal,Heavy,"Forgiving,Grateful",Low,Rough,Mild,Vata
Well Built,Normal,Black,"Dry,Rough",Glowing,Overweight,Redish,"Medium,Yellowish",Fast,Aggressive,Short term,Sleepy,Dislike Heat,Anxiety,Changes Slowly,Irregular Chewing,Irregular,More than Normal,Heavy,"Egoistic,Fearless",Low,Deep,Strong,Kapha
Well Built,Dry,Black,"Dry,Rough",Glowing,Overweight,Pinkish,"Medium,Yellowish",Medium,Aggressive,Long Term,Less,Dislike Heat,Calm,Constant,Proper Chewing,Irregular,More than Normal,Weak,"Egoistic,Fearless",High,Rough,Negligible,Vata
Well Built,Dry,Brown,"Dry,Rough",Pinkish,Normal,Redish,"Medium,Yellowish",Fast,Restless,Good Memory,Sleepy,Dislike Cold,Anger,Changes Slowly,Improper Chewing,Skips Meal,Normal,Healthy,"Forgiving,Grateful",Low,Fast,Strong,Pitta
Medium,Dry,Brown,"Moist,Greasy",Dark,Overweight,Redish,"Large,White",Medium,Restless,Good Memory,Sleepy,Dislike Heat,Anxiety,Changes Slowly,Irregular Chewing,Skips Meal,Less than Normal,Heavy,"Forgiving,Grateful",Medium,Deep,Mild,Pitta
Medium,Greasy,Grey,"Dry,Rough",Pinkish,Normal,Pinkish,"Medium,Yellowish",Medium,Restless,Good Memory,Sleepy,Dislike Moist,Calm,Changes Quickly,Proper Chewing,Irregular,More than Normal,Healthy,"Forgiving,Grateful",High,Fast,Negligible,Pitta
Well Built,Normal,Grey,"Moist,Greasy",Pinkish,Underweight,Pinkish,"Medium,Yellowish",Fast,Restless,Good Memory,Less,Dislike Heat,Calm,Changes Slowly,Irregular Chewing,Skips Meal,Normal,Weak,"Egoistic,Fearless",High,Deep,Strong,Kapha
Thin and Lean,Normal,Brown,"Soft,Sweating",Dark,Overweight,Pinkish,"Large,White",Fast,Restless,Long Term,Less,Dislike Moist,Anxiety,Constant,Irregular Chewing,Skips Meal,Less than Normal,Weak,"Forgiving,Grateful",Medium,Rough,Mild,Pitta
Medium,Dry,Brown,"Dry,Rough",Pinkish,Underweight,Blackish,"Large,White",Medium,Aggressive,Good Memory,Sleepy,Dislike Cold,Calm,Changes Quickly,Improper Chewing,Sudden and Sharp,Normal,Heavy,"Forgiving,Grateful",Low,Fast,Strong,Pitta
Thin and Lean,Dry,Black,"Moist,Greasy",Dark,Overweight,Pinkish,"Large,White",Fast,Aggressive,Short term,Less,Dislike Cold,Anger,Changes Slowly,Improper Chewing,Skips Meal,More than Normal,Heavy,"Egoistic,Fearless",Low,Fast,Negligible,Pitta
Well Built,Dry,Black,"Dry,Rough",Pinkish,Normal,Redish,"Irregular,Blackish",Medium,Restless,Long Term,Moderate,Dislike Moist,Calm,Constant,Improper Chewing,Irregular,Normal,Healthy,"Egoistic,Fearless",High,Deep,Strong,Vata
Well Built,Normal,Brown,"Soft,Sweating",Pinkish,Normal,Redish,"Irregular,Blackish",Fast,Stable,Short term,Less,Dislike Moist,Calm,Constant,Irregular Chewing,Irregular,More than Normal,Weak,"Forgiving,Grateful",High,Fast,Negligible,Pitta
Well Built,Greasy,Black,"Soft,Sweating",Glowing,Normal,Redish,"Irregular,Blackish",Fast,Restless,Short term,Sleepy,Dislike Moist,Anger,Constant,Improper Chewing,Sudden and Sharp,Less than Normal,Heavy,"Jealous,Fearful",Medium,Deep,Negligible,Pitta
Thin and Lean,Dry,Black,"Soft,Sweating",Glowing,Overweight,Pinkish,"Irregular,Blackish",Medium,Stable,Long Term,Sleepy,Dislike Heat,Calm,Changes Slowly,Improper Chewing,Irregular,More than Normal,Healthy,"Forgiving,Grateful",Low,Fast,Strong,Kapha
Well Built,Normal,Black,"Dry,Rough",Glowing,Underweight,Redish,"Medium,Yellowish",Slow,Restless,Good Memory,Less,Dislike Heat,Anxiety,Changes Quickly,Irregular Chewing,Irregular,Less than Normal,Healthy,"Egoistic,Fearless",Low,Deep,Negligible,Kapha
Thin and Lean,Normal,Brown,"Dry,Rough",Glowing,Normal,Redish,"Large,White",Medium,Restless,Short term,Less,Dislike Cold,Anger,Constant,Improper Chewing,Irregular,Less than Normal,Healthy,"Egoistic,Fearless",Medium,Fast,Strong,Pitta
Medium,Dry,Brown,"Moist,Greasy",Glowing,Underweight,Blackish,"Medium,Yellowish",Slow,Stable,Good Memory,Less,Dislike Moist,Calm,Changes Slowly,Improper Chewing,Irregular,Less than Normal,Weak,"Egoistic,Fearless",Medium,Rough,Mild,Vata
Medium,Normal,Brown,"Dry,Rough",Glowing,Underweight,Redish,"Irregular,Blackish",Slow,Stable,Long Term,Sleepy,Dislike Heat,Anger,Constant,Proper Chewing,Irregular,Less than Normal,Weak,"Egoistic,Fearless",Low,Rough,Mild,Kapha
Medium,Greasy,Black,"Moist,Greasy",Glowing,Overweight,Pinkish,"Medium,Yellowish",Fast,Aggressive,Good Memory,Sleepy,Dislike Moist,Anxiety,Changes Slowly,Irregular Chewing,Skips Meal,Normal,Weak,"Jealous,Fearful",High,Rough,Strong,Pitta
Well Built,Greasy,Grey,"Dry,Rough",Glowing,Normal,Pinkish,"Irregular,Blackish",Slow,Stable,Short term,Less,Dislike Moist,Calm,Constant,Irregular Chewing,Irregular,Less than Normal,Heavy,"Egoistic,Fearless",Low,Fast,Mild,Kapha
Well Built,Dry,Brown,"Moist,Greasy",Pinkish,Normal,Redish,"Medium,Yellowish",Slow,Stable,Short term,Sleepy,Dislike Cold,Anxiety,Changes Quickly,Irregular Chewing,Irregular,More than Normal,Healthy,"Jealous,Fearful",Low,Fast,Strong,Kapha
Medium,Normal,Grey,"Moist,Greasy",Glowing,Overweight,Pinkish,"Irregular,Blackish",Medium,Aggressive,Good Memory,Less,Dislike Heat,Anxiety,Constant,Proper Chewing,Sudden and Sharp,Less than Normal,Weak,"Jealous,Fearful",Medium,Deep,Mild,Pitta
Medium,Dry,Brown,"Soft,Sweating",Glowing,Underweight,Redish,"Large,White",Medium,Stable,Good Memory,Moderate,Dislike Moist,Calm,Changes Slowly,Proper Chewing,Sudden and Sharp,Less than Normal,Heavy,"Egoistic,Fearless",Medium,Fast,Strong,Pitta
Thin and Lean,Normal,Grey,"Dry,Rough",Pinkish,Normal,Blackish,"Irregular,Blackish",Slow,Restless,Long Term,Less,Dislike Moist,Calm,Changes Slowly,Improper Chewing,Sudden and Sharp,More than Normal,Heavy,"Jealous,Fearful",Low,Deep,Negligible,Kapha
Medium,Greasy,Brown,"Moist,Greasy",Dark,Underweight,Blackish,"Medium,Yellowish",Medium,Aggressive,Short term,Sleepy,Dislike Moist,Anxiety,Changes Quickly,Irregular Chewing,Skips Meal,Less than Normal,Heavy,"Egoistic,Fearless",Low,Deep,Mild,Pitta
Medium,Greasy,Brown,"Soft,Sweating",Glowing,Overweight,Pinkish,"Irregular,Blackish",Slow,Stable,Long Term,Less,Dislike Heat,Anxiety,Changes Slowly,Irregular Chewing,Skips Meal,More than Normal,Weak,"Egoistic,Fearless",Low,Fast,Negligible,Kapha
Well Built,Dry,Grey,"Soft,Sweating",Dark,Underweight,Pinkish,"Large,White",Medium,Stable,Short term,Sleepy,Dislike Moist,Calm,Changes Quickly,Improper Chewing,Sudden and Sharp,Normal,Weak,"Forgiving,Grateful",Low,Fast,Negligible,Pitta
Medium,Dry,Black,"Soft,Sweating",Glowing,Overweight,Blackish,"Irregular,Blackish",Slow,Stable,Long Term,Sleepy,Dislike Moist,Calm,Changes Quickly,Improper Chewing,Skips Meal,Normal,Weak,"Forgiving,Grateful",High,Fast,Strong,Kapha
Thin and Lean,Greasy,Black,"Moist,Greasy",Pinkish,Normal,Redish,"Large,White",Medium,Aggressive,Good Memory,Less,Dislike Heat,Calm,Constant,Irregular Chewing,Skips Meal,Less than Normal,Weak,"Jealous,Fearful",Medium,Deep,Negligible,Pitta
Well Built,Greasy,Black,"Dry,Rough",Glowing,Overweight,Redish,"Irregular,Blackish",Slow,Stable,Short term,Less,Dislike Moist,Calm,Changes Quickly,Proper Chewing,Sudden and Sharp,Normal,Weak,"Egoistic,Fearless",High,Fast,Strong,Kapha
Thin and Lean,Normal,Brown,"Moist,Greasy",Dark,Overweight,Pinkish,"Medium,Yellowish",Medium,Aggressive,Good Memory,Sleepy,Dislike Moist,Anger,Constant,Improper Chewing,Skips Meal,Normal,Healthy,"Egoistic,Fearless",High,Rough,Mild,Kapha
Medium,Normal,Brown,"Moist,Greasy",Dark,Overweight,Blackish,"Medium,Yellowish",Medium,Stable,Long Term,Less,Dislike Moist,Anxiety,Changes Slowly,Irregular Chewing,Irregular,More than Normal,Heavy,"Egoistic,Fearless",Medium,Fast,Strong,Pitta
Medium,Dry,Brown,"Moist,Greasy",Glowing,Underweight,Pinkish,"Large,White",Slow,Restless,Long Term,Sleepy,Dislike Moist,Calm,Changes Slowly,Proper Chewing,Sudden and Sharp,Less than Normal,Heavy,"Forgiving,Grateful",Low,Rough,Strong,Kapha
Thin and Lean,Normal,Black,"Dry,Rough",Pinkish,Overweight,Pinkish,"Medium,Yellowish",Fast,Stable,Good Memory,Less,Dislike Heat,Anxiety,Changes Slowly,Irregular Chewing,Irregular,Normal,Heavy,"Egoistic,Fearless",High,Fast,Strong,Kapha
Thin and Lean,Dry,Grey,"Moist,Greasy",Pinkish,Overweight,Pinkish,"Medium,Yellowish",Slow,Stable,Good Memory,Less,Dislike Cold,Anger,Constant,Irregular Chewing,Irregular,More than Normal,Heavy,"Egoistic,Fearless",Medium,Deep,Negligible,Kapha
Medium,Normal,Grey,"Moist,Greasy",Glowing,Underweight,Blackish,"Irregular,Blackish",Fast,Aggressive,Long Term,Moderate,Dislike Heat,Anxiety,Changes Quickly,Improper Chewing,Irregular,More than Normal,Weak,"Jealous,Fearful",Low,Deep,Strong,Pitta
Thin and Lean,Dry,Grey,"Dry,Rough",Pinkish,Overweight,Redish,"Irregular,Blackish",Fast,Stable,Good Memory,Sleepy,Dislike Moist,Anger,Constant,Improper Chewing,Irregular,Normal,Heavy,"Forgiving,Grateful",Medium,Fast,Negligible,Pitta
Thin and Lean,Greasy,Grey,"Soft,Sweating",Pinkish,Overweight,Pinkish,"Medium,Yellowish",Fast,Aggressive,Long Term,Sleepy,Dislike Moist,Calm,Changes Quickly,Proper Chewing,Irregular,More than Normal,Heavy,"Forgiving,Grateful",Medium,Deep,Mild,Pitta
Well Built,Normal,Black,"Moist,Greasy",Dark,Normal,Pinkish,"Medium,Yellowish",Slow,Stable,Short term,Sleepy,Dislike Cold,Anxiety,Changes Slowly,Irregular Chewing,Sudden and Sharp,Normal,Healthy,"Egoistic,Fearless",Medium,Deep,Strong,Kapha
Well Built,Greasy,Black,"Moist,Greasy",Pinkish,Normal,Pinkish,"Large,White",Slow,Stable,Long Term,Sleepy,Dislike Cold,Anxiety,Constant,Irregular Chewing,Sudden and Sharp,Less than Normal,Weak,"Forgiving,Grateful",Medium,Deep,Mild,Kapha
Well Built,Normal,Brown,"Soft,Sweating",Glowing,Normal,Pinkish,"Large,White",Fast,Restless,Short term,Sleepy,Dislike Heat,Anxiety,Changes Quickly,Irregular Chewing,Sudden and Sharp,More than Normal,Healthy,"Jealous,Fearful",Low,Rough,Negligible,Kapha
Well Built,Greasy,Brown,"Moist,Greasy",Glowing,Underweight,Blackish,"Large,White",Fast,Stable,Short term,Less,Dislike Heat,Calm,Constant,Proper Chewing,Irregular,More than Normal,Healthy,"Forgiving,Grateful",Low,Fast,Negligible,Pitta
Medium,Greasy,Brown,"Dry,Rough",Dark,Normal,Redish,"Large,White",Slow,Stable,Long Term,Moderate,Dislike Moist,Anxiety,Changes Quickly,Improper Chewing,Sudden and Sharp,Normal,Weak,"Egoistic,Fearless",Low,Rough,Mild,Kapha
Thin and Lean,Normal,Brown,"Moist,Greasy",Glowing,Underweight,Blackish,"Large,White",Medium,Restless,Short term,Moderate,Dislike Moist,Calm,Changes Slowly,Improper Chewing,Irregular,Normal,Healthy,"Egoistic,Fearless",Low,Fast,Strong,Pitta
Well Built,Normal,Brown,"Soft,Sweating",Glowing,Underweight,Pinkish,"Medium,Yellowish",Slow,Stable,Good Memory,Moderate,Dislike Heat,Anger,Changes Quickly,Improper Chewing,Irregular,More than Normal,Weak,"Jealous,Fearful",Low,Fast,Negligible,Kapha
Medium,Greasy,Black,"Moist,Greasy",Dark,Normal,Redish,"Irregular,Blackish",Fast,Aggressive,Short term,Less,Dislike Heat,Anxiety,Changes Quickly,Irregular Chewing,Sudden and Sharp,Less than Normal,Healthy,"Forgiving,Grateful",Low,Fast,Mild,Pitta
Medium,Normal,Brown,"Moist,Greasy",Pinkish,Overweight,Redish,"Large,White",Fast,Stable,Short term,Less,Dislike Heat,Calm,Constant,Irregular Chewing,Irregular,Less than Normal,Heavy,"Forgiving,Grateful",Low,Deep,Mild,Kapha
Well Built,Normal,Grey,"Dry,Rough",Pinkish,Overweight,Blackish,"Large,White",Medium,Stable,Long Term,Moderate,Dislike Heat,Anxiety,Changes Slowly,Proper Chewing,Irregular,Normal,Healthy,"Egoistic,Fearless",High,Fast,Mild,Pitta
Medium,Greasy,Black,"Dry,Rough",Pinkish,Overweight,Pinkish,"Large,White",Slow,Stable,Long Term,Moderate,Dislike Cold,Calm,Changes Quickly,Improper Chewing,Skips Meal,Less than Normal,Heavy,"Jealous,Fearful",Medium,Deep,Mild,Kapha
Thin and Lean,Normal,Grey,"Dry,Rough",Pinkish,Underweight,Pinkish,"Medium,Yellowish",Medium,Restless,Good Memory,Less,Dislike Cold,Calm,Constant,Proper Chewing,Skips Meal,Normal,Weak,"Egoistic,Fearless",Low,Rough,Strong,Kapha
Thin and Lean,Greasy,Grey,"Moist,Greasy",Pinkish,Underweight,Redish,"Irregular,Blackish",Medium,Stable,Short term,Moderate,Dislike Heat,Calm,Constant,Irregular Chewing,Sudden and Sharp,More than Normal,Healthy,"Forgiving,Grateful",High,Fast,Strong,Kapha
Thin and Lean,Dry,Brown,"Dry,Rough",Dark,Underweight,Redish,"Medium,Yellowish",Fast,Restless,Good Memory,Sleepy,Dislike Moist,Anxiety,Constant,Irregular Chewing,Irregular,Normal,Heavy,"Forgiving,Grateful",Medium,Fast,Strong,Pitta
Medium,Dry,Brown,"Dry,Rough",Glowing,Underweight,Blackish,"Medium,Yellowish",Fast,Stable,Short term,Moderate,Dislike Cold,Anxiety,Changes Quickly,Proper Chewing,Skips Meal,Less than Normal,Weak,"Egoistic,Fearless",High,Deep,Strong,Kapha
Thin and Lean,Dry,Grey,"Soft,Sweating",Pinkish,Underweight,Blackish,"Large,White",Medium,Restless,Long Term,Moderate,Dislike Cold,Anxiety,Constant,Irregular Chewing,Sudden and Sharp,Less than Normal,Weak,"Forgiving,Grateful",High,Rough,Negligible,Vata
Medium,Dry,Black,"Soft,Sweating",Glowing,Normal,Pinkish,"Large,White",Slow,Stable,Good Memory,Less,Dislike Cold,Calm,Constant,Proper Chewing,Skips Meal,More than Normal,Weak,"Jealous,Fearful",High,Deep,Strong,Kapha
Medium,Dry,Grey,"Dry,Rough",Dark,Overweight,Blackish,"Medium,Yellowish",Slow,Stable,Long Term,Sleepy,Dislike Cold,Anger,Changes Quickly,Irregular Chewing,Irregular,More than Normal,Heavy,"Jealous,Fearful",High,Rough,Negligible,Kapha
Thin and Lean,Normal,Grey,"Moist,Greasy",Dark,Normal,Blackish,"Large,White",Medium,Stable,Short term,Moderate,Dislike Heat,Calm,Changes Slowly,Proper Chewing,Irregular,Normal,Heavy,"Egoistic,Fearless",Medium,Deep,Strong,Kapha
Medium,Normal,Brown,"Dry,Rough",Dark,Normal,Blackish,"Medium,Yellowish",Medium,Stable,Good Memory,Moderate,Dislike Cold,Anger,Constant,Proper Chewing,Skips Meal,Less than Normal,Healthy,"Forgiving,Grateful",High,Rough,Mild,Pitta
Thin and Lean,Normal,Grey,"Moist,Greasy",Pinkish,Overweight,Redish,"Large,White",Medium,Restless,Short term,Less,Dislike Cold,Calm,Changes Quickly,Proper Chewing,Skips Meal,Less than Normal,Healthy,"Egoistic,Fearless",Low,Deep,Strong,Kapha
Well Built,Normal,Brown,"Soft,Sweating",Glowing,Normal,Redish,"Medium,Yellowish",Fast,Stable,Short term,Moderate,Dislike Heat,Calm,Changes Slowly,Irregular Chewing,Skips Meal,Normal,Weak,"Forgiving,Grateful",Low,Rough,Negligible,Kapha
Well Built,Greasy,Brown,"Dry,Rough",Glowing,Underweight,Blackish,"Medium,Yellowish",Fast,Restless,Long Term,Moderate,Dislike Cold,Anger,Changes Quickly,Irregular Chewing,Irregular,Normal,Healthy,"Forgiving,Grateful",Low,Deep,Negligible,Kapha
Medium,Greasy,Black,"Dry,Rough",Dark,Underweight,Blackish,"Irregular,Blackish",Medium,Aggressive,Good Memory,Moderate,Dislike Heat,Anger,Constant,Irregular Chewing,Sudden and Sharp,Less than Normal,Weak,"Forgiving,Grateful",Medium,Rough,Strong,Pitta
Medium,Normal,Black,"Dry,Rough",Dark,Normal,Redish,"Large,White",Medium,Restless,Long Term,Sleepy,Dislike Cold,Anger,Changes Quickly,Irregular Chewing,Sudden and Sharp,More than Normal,Heavy,"Egoistic,Fearless",High,Rough,Strong,Kapha
Well Built,Greasy,Brown,"Dry,Rough",Dark,Normal,Blackish,"Irregular,Blackish",Fast,Aggressive,Good Memory,Moderate,Dislike Moist,Anxiety,Changes Quickly,Improper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Egoistic,Fearless",Low,Deep,Mild,Pitta
Medium,Greasy,Brown,"Moist,Greasy",Pinkish,Overweight,Pinkish,"Large,White",Fast,Aggressive,Long Term,Less,Dislike Moist,Calm,Changes Quickly,Proper Chewing,Skips Meal,Normal,Weak,"Jealous,Fearful",High,Deep,Mild,Pitta
Well Built,Greasy,Brown,"Moist,Greasy",Pinkish,Normal,Blackish,"Irregular,Blackish",Medium,Restless,Good Memory,Less,Dislike Cold,Calm,Changes Quickly,Improper Chewing,Skips Meal,Normal,Healthy,"Forgiving,Grateful",High,Rough,Strong,Kapha
Medium,Dry,Grey,"Dry,Rough",Dark,Underweight,Pinkish,"Large,White",Medium,Restless,Short term,Moderate,Dislike Heat,Anxiety,Constant,Irregular Chewing,Skips Meal,Less than Normal,Healthy,"Jealous,Fearful",Medium,Rough,Mild,Pitta
Well Built,Normal,Black,"Soft,Sweating",Pinkish,Overweight,Pinkish,"Irregular,Blackish",Medium,Stable,Short term,Sleepy,Dislike Heat,Calm,Changes Quickly,Improper Chewing,Irregular,Normal,Heavy,"Jealous,Fearful",Low,Deep,Strong,Kapha
Medium,Greasy,Black,"Dry,Rough",Dark,Underweight,Blackish,"Large,White",Medium,Restless,Long Term,Moderate,Dislike Cold,Calm,Changes Slowly,Proper Chewing,Sudden and Sharp,Less than Normal,Weak,"Forgiving,Grateful",Medium,Deep,Negligible,Pitta
Thin and Lean,Greasy,Grey,"Soft,Sweating",Glowing,Underweight,Pinkish,"Irregular,Blackish",Slow,Stable,Good Memory,Moderate,Dislike Cold,Anxiety,Changes Slowly,Irregular Chewing,Skips Meal,More than Normal,Weak,"Egoistic,Fearless",High,Rough,Strong,Kapha
Medium,Dry,Grey,"Dry,Rough",Pinkish,Overweight,Blackish,"Medium,Yellowish",Slow,Restless,Short term,Moderate,Dislike Cold,Calm,Changes Slowly,Proper Chewing,Sudden and Sharp,Less than Normal,Heavy,"Egoistic,Fearless",Low,Deep,Negligible,Kapha
Well Built,Dry,Grey,"Moist,Greasy",Glowing,Normal,Pinkish,"Large,White",Fast,Restless,Short term,Sleepy,Dislike Cold,Anger,Changes Quickly,Irregular Chewing,Skips Meal,Normal,Weak,"Egoistic,Fearless",Low,Fast,Mild,Pitta
Thin and Lean,Dry,Black,"Dry,Rough",Glowing,Normal,Pinkish,"Large,White",Fast,Stable,Good Memory,Less,Dislike Moist,Anxiety,Constant,Proper Chewing,Skips Meal,Normal,Heavy,"Egoistic,Fearless",Low,Rough,Mild,Kapha
Thin and Lean,Normal,Black,"Soft,Sweating",Pinkish,Underweight,Redish,"Large,White",Fast,Aggressive,Short term,Moderate,Dislike Moist,Anger,Constant,Irregular Chewing,Sudden and Sharp,Less than Normal,Weak,"Egoistic,Fearless",Medium,Fast,Strong,Pitta
Well Built,Dry,Brown,"Soft,Sweating",Glowing,Underweight,Blackish,"Large,White",Medium,Stable,Long Term,Moderate,Dislike Moist,Calm,Constant,Irregular Chewing,Irregular,More than Normal,Heavy,"Egoistic,Fearless",Low,Deep,Negligible,Kapha
Thin and Lean,Greasy,Black,"Soft,Sweating",Glowing,Underweight,Redish,"Irregular,Blackish",Medium,Restless,Short term,Sleepy,Dislike Cold,Anger,Constant,Improper Chewing,Skips Meal,Less than Normal,Heavy,"Forgiving,Grateful",Low,Deep,Mild,Kapha
Thin and Lean,Dry,Brown,"Dry,Rough",Dark,Overweight,Redish,"Medium,Yellowish",Slow,Stable,Short term,Less,Dislike Heat,Anxiety,Constant,Proper Chewing,Sudden and Sharp,Less than Normal,Heavy,"Forgiving,Grateful",High,Deep,Mild,Kapha
Medium,Normal,Grey,"Dry,Rough",Dark,Normal,Pinkish,"Medium,Yellowish",Slow,Restless,Short term,Sleepy,Dislike Heat,Anger,Constant,Improper Chewing,Sudden and Sharp,More than Normal,Healthy,"Egoistic,Fearless",Medium,Fast,Mild,Pitta
Well Built,Dry,Black,"Moist,Greasy",Glowing,Overweight,Pinkish,"Medium,Yellowish",Slow,Restless,Short term,Less,Dislike Heat,Calm,Changes Quickly,Irregular Chewing,Sudden and Sharp,Normal,Heavy,"Forgiving,Grateful",Low,Deep,Mild,Kapha
Thin and Lean,Dry,Brown,"Moist,Greasy",Pinkish,Underweight,Pinkish,"Medium,Yellowish",Slow,Stable,Long Term,Moderate,Dislike Moist,Anxiety,Constant,Proper Chewing,Skips Meal,Less than Normal,Healthy,"Jealous,Fearful",Medium,Deep,Strong,Kapha
Medium,Greasy,Black,"Dry,Rough",Pinkish,Underweight,Redish,"Medium,Yellowish",Slow,Stable,Good Memory,Sleepy,Dislike Moist,Anger,Changes Slowly,Improper Chewing,Sudden and Sharp,More than Normal,Heavy,"Jealous,Fearful",Medium,Fast,Mild,Kapha
Thin and Lean,Normal,Grey,"Soft,Sweating",Glowing,Overweight,Blackish,"Medium,Yellowish",Slow,Restless,Good Memory,Moderate,Dislike Heat,Anger,Changes Quickly,Improper Chewing,Irregular,More than Normal,Heavy,"Egoistic,Fearless",Medium,Fast,Negligible,Kapha
Thin and Lean,Greasy,Grey,"Soft,Sweating",Dark,Overweight,Blackish,"Medium,Yellowish",Fast,Stable,Good Memory,Moderate,Dislike Moist,Calm,Changes Quickly,Proper Chewing,Irregular,Normal,Weak,"Forgiving,Grateful",High,Fast,Mild,Pitta
Medium,Normal,Black,"Soft,Sweating",Glowing,Overweight,Redish,"Large,White",Medium,Restless,Short term,Sleepy,Dislike Moist,Anxiety,Changes Slowly,Improper Chewing,Sudden and Sharp,Normal,Weak,"Forgiving,Grateful",High,Deep,Negligible,Pitta
Medium,Dry,Grey,"Moist,Greasy",Pinkish,Overweight,Redish,"Irregular,Blackish",Fast,Aggressive,Good Memory,Sleepy,Dislike Moist,Anger,Changes Quickly,Improper Chewing,Sudden and Sharp,Normal,Weak,"Jealous,Fearful",High,Deep,Mild,Pitta
Well Built,Dry,Grey,"Dry,Rough",Dark,Underweight,Pinkish,"Irregular,Blackish",Slow,Stable,Long Term,Less,Dislike Heat,Anxiety,Constant,Improper Chewing,Irregular,More than Normal,Healthy,"Jealous,Fearful",Low,Deep,Strong,Kapha
Medium,Greasy,Brown,"Soft,Sweating",Pinkish,Underweight,Redish,"Large,White",Fast,Stable,Short term,Sleepy,Dislike Cold,Anxiety,Changes Quickly,Improper Chewing,Irregular,Normal,Heavy,"Egoistic,Fearless",Medium,Rough,Negligible,Pitta
Medium,Greasy,Grey,"Moist,Greasy",Pinkish,Normal,Pinkish,"Large,White",Medium,Restless,Long Term,Sleepy,Dislike Heat,Anger,Changes Quickly,Irregular Chewing,Irregular,Less than Normal,Heavy,"Egoistic,Fearless",Low,Rough,Strong,Kapha
Thin and Lean,Dry,Black,"Soft,Sweating",Pinkish,Normal,Redish,"Medium,Yellowish",Fast,Restless,Short term,Sleepy,Dislike Moist,Calm,Changes Slowly,Proper Chewing,Sudden and Sharp,Normal,Healthy,"Jealous,Fearful",High,Fast,Strong,Pitta
Well Built,Greasy,Grey,"Dry,Rough",Pinkish,Overweight,Blackish,"Medium,Yellowish",Fast,Restless,Short term,Sleepy,Dislike Moist,Anger,Changes Slowly,Irregular Chewing,Skips Meal,More than Normal,Healthy,"Jealous,Fearful",High,Fast,Negligible,Pitta
